line_number,topic,Brandon
,,5sfd23-a3vds3
0,before_ Chemistry,3
0,after_ Chemistry,3
3,before_ Matter,1
3,after_ Matter,1
7,before_ Characteristics,1
7,after_ Characteristics,1
26,before_ Transformations,1
26,after_ Transformations,1
28,before_ Pure vs. Mixture,1
28,after_ Pure vs. Mixture,1
37,before_ Elements and Compounds,1
37,after_ Elements and Compounds,1
69,before_ Atoms and Molecules,1
69,after_ Atoms and Molecules,1
84,before_ Chemical Formula,1
84,after_ Chemical Formula,1
89,before_ Measurements in Chemistry,2
89,after_ Measurements in Chemistry,0
93,before_ Measurment Systems,2
93,after_ Measurment Systems,0
104,before_ Uncertainty,3
104,after_ Uncertainty,0
112,before_ Significant Figures,3
112,after_ Significant Figures,0
128,before_ Mathematical Operations with Significant Figures,3
128,after_ Mathematical Operations with Significant Figures,0
137,before_ Scientific Notation,2
137,after_ Scientific Notation,0
141,before_ Dimensional Analysis,3
141,after_ Dimensional Analysis,0
158,before_ The Periodic Table and the Atom,1
158,after_ The Periodic Table and the Atom,1
159,before_ Internal composition of an Atom,1
159,after_ Internal composition of an Atom,1
165,"before_ Atomic Number, Mass Number and the Complete Chemical Symbol",1
165,"after_ Atomic Number, Mass Number and the Complete Chemical Symbol",1
175,before_ Isotopes and Atomic Masses,2
175,after_ Isotopes and Atomic Masses,0
179,before_ Periodic Law,1
179,after_ Periodic Law,1
190,before_ Metals and Nonmetals,1
190,after_ Metals and Nonmetals,1
195,before_ Electron Arrangements,1
195,after_ Electron Arrangements,1
207,before_ Chemical Bonds,1
207,after_ Chemical Bonds,1
210,before_ Ionic Compounds,1
210,after_ Ionic Compounds,1
217,before_ Valence Electrons,1
217,after_ Valence Electrons,1
221,before_ Ions,1
221,after_ Ions,1
238,before_ Lewis Structures,1
238,after_ Lewis Structures,1
241,before_ Chemical Formulae from Ions,1
241,after_ Chemical Formulae from Ions,1
245,before_ Binary Compounds,1
245,after_ Binary Compounds,1
248,before_ Nomenclature,1
248,after_ Nomenclature,1
257,before_ Polyatomics,1
257,after_ Polyatomics,1
278,before_ Covalent Molecules,1
278,after_ Covalent Molecules,1
282,before_ Covalent Bonding,2
282,after_ Covalent Bonding,0
289,before_ Coordinate Covalent Bonding,6
289,after_ Coordinate Covalent Bonding,0
293,before_ Drawing Lewis Structures,5
293,after_ Drawing Lewis Structures,0
305,before_ Molecular Geometry,1
305,after_ Molecular Geometry,1
324,before_ Electronegativity,1
324,after_ Electronegativity,1
327,before_ Bond Polarity,1
327,after_ Bond Polarity,1
333,before_ Molecular Polarity,3
333,after_ Molecular Polarity,0
340,before_ Binary Molecular Compound Naming,1
340,after_ Binary Molecular Compound Naming,1
